Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision,Purchase_Amount_clipped,Purchase_Date,Purchase_Year,Purchase_Month,Purchase_Month_Name,Purchase_DayOfWeek,Purchase_Hour,is_repeat_customer,RFM_segment,Discount_Sensitivity_Bucket,Decision_Speed
19-999-0134,30,Male,Middle,Widowed,Bachelor's,Middle,Hongqi,Health Care,353.4,2,Online,2,3,2.0,Medium,Very Sensitive,0,1,Low,Tablet,Credit Card,2024-12-06,False,True,Impulsive,No Preference,3,353.4,2024-12-06,2024,12,December,Friday,0,0,Loyal,Very Sensitive,Fast
38-242-3251,43,Male,High,Divorced,Bachelor's,Middle,Majdal Banī Fāḑil,Arts & Crafts,293.04,11,In-Store,4,2,1.0,Unknown,Very Sensitive,1,3,Low,Desktop,PayPal,2024-03-03,True,False,Planned,Standard,6,293.04,2024-03-03,2024,3,March,Sunday,0,0,At Risk,Very Sensitive,Medium
37-128-5425,40,Female,High,Widowed,Bachelor's,Middle,Manchester,Toys & Games,392.08,6,Online,2,5,1.0,Unknown,Very Sensitive,2,7,High,Tablet,Other,2024-08-04,True,True,Need-based,Express,6,392.08,2024-08-04,2024,8,August,Sunday,0,0,Potential Loyalists,Very Sensitive,Medium
82-990-0504,46,Female,Middle,Widowed,Bachelor's,Middle,Pélla,Groceries,378.87,7,Online,1,2,0.0,Unknown,Very Sensitive,1,2,Low,Tablet,PayPal,2024-04-01,True,False,Planned,No Preference,5,378.87,2024-04-01,2024,4,April,Monday,0,0,At Risk,Very Sensitive,Medium
76-148-9413,43,Non-binary,High,Widowed,Master's,Middle,Benevides,Arts & Crafts,111.24,9,Mixed,5,2,0.0,Medium,Somewhat Sensitive,0,2,High,Smartphone,Credit Card,2024-08-06,True,False,Need-based,No Preference,12,111.24,2024-08-06,2024,8,August,Tuesday,0,0,Low Value,Somewhat Sensitive,Slow
53-639-3774,37,Female,Middle,Single,Bachelor's,Middle,Qinghaihu,Travel & Leisure (Flights,299.31,7,Mixed,2,4,1.0,Medium,Very Sensitive,2,3,Unknown,Desktop,Debit Card,2024-02-01,True,False,Need-based,Express,3,299.31,2024-02-01,2024,2,February,Thursday,0,0,At Risk,Very Sensitive,Fast
18-655-3670,29,Male,Middle,Widowed,High School,High,Prostřední Bečva,Office Supplies,449.13,9,In-Store,2,1,0.5,Medium,Not Sensitive,2,2,Low,Tablet,Credit Card,2024-06-12,False,False,Planned,No Preference,14,449.13,2024-06-12,2024,6,June,Wednesday,0,0,Potential Loyalists,Not Sensitive,Slow
17-032-6274,40,Female,High,Married,Bachelor's,High,Rizal,Books,240.28,3,Online,3,5,2.0,High,Not Sensitive,2,7,Medium,Tablet,Cash,2024-12-07,True,True,Impulsive,Standard,4,240.28,2024-12-07,2024,12,December,Saturday,0,0,Potential Loyalists,Not Sensitive,Fast
39-499-3854,25,Female,Middle,Married,Bachelor's,Middle,Huaidao,Hotels,166.0,10,Online,5,3,0.0,High,Not Sensitive,2,10,Medium,Smartphone,PayPal,2024-06-11,False,False,Impulsive,Express,5,166.0,2024-06-11,2024,6,June,Tuesday,0,0,Low Value,Not Sensitive,Medium
71-667-2334,33,Polygender,High,Married,Bachelor's,Middle,Isla Verde,Travel & Leisure (Flights,348.5,3,Mixed,2,3,2.0,Unknown,Not Sensitive,0,6,Medium,Smartphone,Debit Card,2024-07-09,False,False,Planned,No Preference,8,348.5,2024-07-09,2024,7,July,Tuesday,0,0,Potential Loyalists,Not Sensitive,Medium
91-440-0011,50,Female,Middle,Widowed,High School,Middle,Shiree,Sports & Outdoors,474.99,9,Online,2,4,1.0,Unknown,Somewhat Sensitive,0,8,High,Desktop,Credit Card,2024-07-10,True,False,Planned,Standard,5,474.99,2024-07-10,2024,7,July,Wednesday,0,0,Potential Loyalists,Somewhat Sensitive,Medium
20-830-4758,35,Female,Middle,Widowed,High School,Middle,Strezhevoy,Luxury Goods,286.43,4,Mixed,1,3,0.0,High,Very Sensitive,2,3,Unknown,Desktop,Cash,2024-07-12,True,False,Wants-based,Express,14,286.43,2024-07-12,2024,7,July,Friday,0,0,Potential Loyalists,Very Sensitive,Slow
84-337-1016,19,Genderfluid,High,Widowed,High School,High,Longxing,Health Care,333.32,8,Online,1,5,0.0,Low,Very Sensitive,0,3,High,Smartphone,Credit Card,2024-10-05,True,False,Planned,No Preference,3,333.32,2024-10-05,2024,10,October,Saturday,0,0,Potential Loyalists,Very Sensitive,Fast
29-779-7209,34,Female,High,Widowed,Master's,High,Pilaya,Books,391.38,5,In-Store,5,2,2.0,Low,Not Sensitive,0,7,Low,Tablet,Other,2024-04-02,False,False,Need-based,No Preference,8,391.38,2024-04-02,2024,4,April,Tuesday,0,0,Potential Loyalists,Not Sensitive,Medium
07-024-4995,27,Bigender,Middle,Widowed,High School,Middle,Holboo,Furniture,328.36,11,In-Store,1,4,2.0,High,Very Sensitive,0,4,Unknown,Tablet,Cash,2024-03-11,False,True,Wants-based,Express,4,328.36,2024-03-11,2024,3,March,Monday,0,0,At Risk,Very Sensitive,Fast
15-530-3861,36,Male,High,Divorced,High School,High,Bayan Tuohai,Clothing,111.7,6,Online,4,5,0.0,Medium,Somewhat Sensitive,2,5,High,Tablet,Credit Card,2024-11-07,False,False,Planned,Standard,7,111.7,2024-11-07,2024,11,November,Thursday,0,0,At Risk,Somewhat Sensitive,Medium
30-567-4471,34,Male,Middle,Married,Bachelor's,Middle,Parumasan,Clothing,373.69,10,Online,3,2,2.0,Medium,Not Sensitive,1,8,Unknown,Tablet,Credit Card,2024-12-04,False,True,Impulsive,Express,14,373.69,2024-12-04,2024,12,December,Wednesday,0,0,Loyal,Not Sensitive,Slow
05-465-8765,27,Female,High,Widowed,High School,Middle,Gjegjan,Luxury Goods,380.99,7,Mixed,1,2,1.0,Low,Somewhat Sensitive,0,1,Medium,Desktop,Cash,2024-12-09,True,True,Need-based,No Preference,8,380.99,2024-12-09,2024,12,December,Monday,0,0,Loyal,Somewhat Sensitive,Medium
78-824-1887,26,Male,Middle,Married,High School,Middle,Junshan,Travel & Leisure (Flights,121.57,4,Mixed,1,5,0.0,High,Not Sensitive,0,4,High,Desktop,Other,2024-06-06,False,True,Impulsive,No Preference,13,121.57,2024-06-06,2024,6,June,Thursday,0,0,Low Value,Not Sensitive,Slow
31-218-0024,21,Female,High,Divorced,High School,Middle,Lewotola,Health Supplements,215.54,11,Online,3,1,2.0,Low,Somewhat Sensitive,2,6,High,Desktop,Credit Card,2024-04-08,True,True,Planned,No Preference,10,215.54,2024-04-08,2024,4,April,Monday,0,0,Low Value,Somewhat Sensitive,Medium
15-711-4107,43,Male,High,Married,Bachelor's,High,Laocheng,Furniture,87.03,10,Mixed,1,1,0.0,Low,Very Sensitive,1,5,High,Desktop,PayPal,2024-08-11,False,True,Need-based,No Preference,7,87.03,2024-08-11,2024,8,August,Sunday,0,0,Low Value,Very Sensitive,Medium
76-672-1193,19,Male,High,Divorced,High School,High,Guacarí,Travel & Leisure (Flights,111.75,4,In-Store,1,4,0.0,High,Not Sensitive,1,6,High,Tablet,Debit Card,2024-10-10,False,True,Impulsive,Standard,8,111.75,2024-10-10,2024,10,October,Thursday,0,0,At Risk,Not Sensitive,Medium
87-499-6916,48,Male,Middle,Married,High School,Middle,Ndewel,Food & Beverages,439.31,4,In-Store,3,2,1.0,Medium,Very Sensitive,0,6,Medium,Smartphone,Debit Card,2024-08-11,False,True,Wants-based,No Preference,7,439.31,2024-08-11,2024,8,August,Sunday,0,0,Potential Loyalists,Very Sensitive,Medium
23-253-2565,23,Female,High,Divorced,High School,High,Hinlayagan Ilaud,Toys & Games,461.09,8,Online,4,1,0.0,Medium,Somewhat Sensitive,0,4,Medium,Smartphone,Debit Card,2024-08-03,True,False,Need-based,No Preference,8,461.09,2024-08-03,2024,8,August,Saturday,0,0,Potential Loyalists,Somewhat Sensitive,Medium
38-935-1865,18,Female,High,Widowed,Bachelor's,High,Novoukrainskiy,Beauty & Personal Care,160.82,7,In-Store,3,1,1.0,High,Somewhat Sensitive,0,1,High,Smartphone,Cash,2024-07-09,True,True,Wants-based,No Preference,3,160.82,2024-07-09,2024,7,July,Tuesday,0,0,Low Value,Somewhat Sensitive,Fast
75-953-8663,35,Male,High,Single,Master's,Middle,Acobambilla,Hotels,494.18,6,Mixed,4,5,1.0,Medium,Not Sensitive,1,2,Unknown,Desktop,Cash,2024-08-03,False,False,Need-based,Standard,14,494.18,2024-08-03,2024,8,August,Saturday,0,0,Potential Loyalists,Not Sensitive,Slow
38-478-2681,22,Male,Middle,Single,Bachelor's,Middle,Kyonju,Home Appliances,177.05,5,Online,3,1,1.0,Unknown,Somewhat Sensitive,2,1,Low,Tablet,Cash,2024-12-04,True,True,Impulsive,Standard,1,177.05,2024-12-04,2024,12,December,Wednesday,0,0,Potential Loyalists,Somewhat Sensitive,Fast
11-719-8800,37,Female,Middle,Widowed,Master's,High,Trélazé,Food & Beverages,346.36,12,Mixed,4,5,0.0,Medium,Somewhat Sensitive,0,7,Medium,Smartphone,Credit Card,2024-09-04,False,False,Need-based,Standard,14,346.36,2024-09-04,2024,9,September,Wednesday,0,0,Potential Loyalists,Somewhat Sensitive,Slow
08-733-0300,39,Female,Middle,Widowed,Bachelor's,High,Oslo,Books,247.51,10,Mixed,2,1,2.0,Low,Somewhat Sensitive,1,8,Low,Tablet,Credit Card,2024-07-01,True,False,Impulsive,Standard,2,247.51,2024-07-01,2024,7,July,Monday,0,0,At Risk,Somewhat Sensitive,Fast
78-272-6417,49,Female,Middle,Divorced,High School,High,Marseille,Jewelry & Accessories,163.14,5,Mixed,5,4,0.0,Low,Somewhat Sensitive,1,2,Unknown,Desktop,Debit Card,2024-08-07,True,True,Planned,No Preference,1,163.14,2024-08-07,2024,8,August,Wednesday,0,0,Low Value,Somewhat Sensitive,Fast
13-792-4356,21,Male,High,Divorced,Bachelor's,Middle,Tianbao,Gardening & Outdoors,162.31,8,In-Store,5,1,1.0,High,Very Sensitive,1,2,Medium,Tablet,Credit Card,2024-10-05,False,False,Need-based,No Preference,11,162.31,2024-10-05,2024,10,October,Saturday,0,0,At Risk,Very Sensitive,Medium
79-592-5396,30,Female,High,Married,Master's,High,Binalbagan,Sports & Outdoors,268.59,4,Online,3,3,1.0,High,Very Sensitive,1,1,Medium,Desktop,Debit Card,2024-04-05,True,True,Need-based,Standard,3,268.59,2024-04-05,2024,4,April,Friday,0,0,Low Value,Very Sensitive,Fast
39-952-4459,18,Female,High,Divorced,High School,High,Tessalit,Electronics,257.37,7,Online,3,3,0.0,Medium,Very Sensitive,2,5,Medium,Smartphone,PayPal,2024-02-01,True,False,Wants-based,Express,13,257.37,2024-02-01,2024,2,February,Thursday,0,0,Low Value,Very Sensitive,Slow
67-935-7964,41,Female,Middle,Single,High School,High,Nikolayevsk,Office Supplies,205.49,4,In-Store,5,3,2.0,Low,Somewhat Sensitive,2,2,High,Tablet,Cash,2024-11-09,True,False,Need-based,Express,11,205.49,2024-11-09,2024,11,November,Saturday,0,0,Potential Loyalists,Somewhat Sensitive,Medium
57-410-7415,33,Female,High,Divorced,Bachelor's,High,Týn nad Vltavou,Food & Beverages,254.73,6,Online,4,3,0.0,Medium,Very Sensitive,0,3,Low,Smartphone,Other,2024-06-01,True,True,Impulsive,Express,3,254.73,2024-06-01,2024,6,June,Saturday,0,0,Low Value,Very Sensitive,Fast
73-827-2774,33,Female,High,Married,Bachelor's,High,Gandapura,Electronics,305.29,3,Online,2,3,1.0,Medium,Very Sensitive,1,8,Medium,Desktop,Debit Card,2024-09-05,True,True,Impulsive,Standard,10,305.29,2024-09-05,2024,9,September,Thursday,0,0,Potential Loyalists,Very Sensitive,Medium
19-643-1879,45,Male,Middle,Divorced,High School,High,Kawangkoan,Food & Beverages,257.86,6,Online,2,2,0.0,Unknown,Somewhat Sensitive,0,4,High,Tablet,PayPal,2024-06-12,True,True,Need-based,Express,1,257.86,2024-06-12,2024,6,June,Wednesday,0,0,Low Value,Somewhat Sensitive,Fast
57-345-3921,42,Female,High,Single,High School,Middle,Mondorf-les-Bains,Jewelry & Accessories,393.45,12,In-Store,3,1,0.0,Low,Somewhat Sensitive,2,10,Medium,Desktop,Credit Card,2024-10-06,False,False,Need-based,Express,12,393.45,2024-10-06,2024,10,October,Sunday,0,0,Loyal,Somewhat Sensitive,Slow
27-806-4972,26,Female,High,Single,Master's,Middle,Obong,Health Care,469.22,6,In-Store,1,1,1.0,High,Not Sensitive,0,1,Low,Tablet,Credit Card,2024-08-07,False,False,Wants-based,No Preference,7,469.22,2024-08-07,2024,8,August,Wednesday,0,0,Potential Loyalists,Not Sensitive,Medium
48-343-1220,42,Female,High,Divorced,High School,High,Kolsko,Jewelry & Accessories,335.32,6,Mixed,3,3,1.0,Unknown,Not Sensitive,0,1,Low,Desktop,Other,2024-08-12,True,False,Planned,No Preference,10,335.32,2024-08-12,2024,8,August,Monday,0,0,Potential Loyalists,Not Sensitive,Medium
58-788-8938,49,Male,High,Married,High School,Middle,Hachiōji,Health Supplements,427.1,8,Mixed,1,2,1.0,High,Somewhat Sensitive,0,2,Medium,Desktop,PayPal,2024-05-10,False,True,Planned,No Preference,5,427.1,2024-05-10,2024,5,May,Friday,0,0,Potential Loyalists,Somewhat Sensitive,Medium
76-982-8107,47,Female,Middle,Widowed,Master's,High,La Mohammedia,Electronics,85.61,2,Online,4,2,1.0,High,Not Sensitive,1,3,Low,Desktop,Other,2024-10-04,True,True,Need-based,Standard,5,85.61,2024-10-04,2024,10,October,Friday,0,0,At Risk,Not Sensitive,Medium
79-884-5600,36,Female,High,Widowed,Master's,Middle,Goiatuba,Books,245.14,4,Online,4,5,1.0,High,Very Sensitive,1,4,Medium,Smartphone,PayPal,2024-03-03,True,False,Impulsive,Standard,3,245.14,2024-03-03,2024,3,March,Sunday,0,0,Low Value,Very Sensitive,Fast
80-607-9947,43,Male,High,Divorced,Bachelor's,Middle,Krajan Kidul Rojopolo,Toys & Games,439.91,5,Online,1,4,2.0,Low,Somewhat Sensitive,0,9,Medium,Smartphone,Other,2024-03-03,False,False,Need-based,Express,10,439.91,2024-03-03,2024,3,March,Sunday,0,0,Potential Loyalists,Somewhat Sensitive,Medium
54-164-2243,48,Male,Middle,Single,High School,Middle,Benito Juarez,Hotels,298.73,4,Online,1,5,1.0,High,Not Sensitive,0,2,Low,Tablet,Debit Card,2024-11-02,False,True,Need-based,No Preference,4,298.73,2024-11-02,2024,11,November,Saturday,0,0,Potential Loyalists,Not Sensitive,Fast
37-513-5073,33,Female,Middle,Married,Master's,High,Mizque,Electronics,193.76,10,Mixed,4,3,1.0,Medium,Not Sensitive,0,2,Low,Desktop,Debit Card,2024-02-03,False,False,Wants-based,No Preference,12,193.76,2024-02-03,2024,2,February,Saturday,0,0,Low Value,Not Sensitive,Slow
72-830-1211,38,Male,High,Single,Bachelor's,High,Cipolletti,Jewelry & Accessories,496.11,2,Mixed,2,3,1.0,High,Somewhat Sensitive,2,8,High,Smartphone,PayPal,2024-06-08,True,False,Impulsive,Standard,12,496.11,2024-06-08,2024,6,June,Saturday,0,0,Potential Loyalists,Somewhat Sensitive,Slow
10-961-9336,27,Female,Middle,Married,Master's,Middle,Dayapan,Travel & Leisure (Flights,78.0,5,Online,1,5,0.0,Unknown,Not Sensitive,1,1,Low,Desktop,Debit Card,2024-11-09,True,False,Wants-based,No Preference,11,78.0,2024-11-09,2024,11,November,Saturday,0,0,At Risk,Not Sensitive,Medium
71-473-2656,27,Female,High,Married,Bachelor's,Middle,Gordon Town,Health Care,393.03,4,Mixed,4,4,0.0,High,Somewhat Sensitive,1,3,Medium,Smartphone,Cash,2024-09-03,True,True,Planned,Standard,7,393.03,2024-09-03,2024,9,September,Tuesday,0,0,Potential Loyalists,Somewhat Sensitive,Medium
84-934-2483,49,Male,High,Widowed,Master's,Middle,Betong,Arts & Crafts,348.63,4,Online,5,2,0.0,High,Somewhat Sensitive,0,7,Unknown,Smartphone,Debit Card,2024-04-01,False,False,Planned,No Preference,6,348.63,2024-04-01,2024,4,April,Monday,0,0,At Risk,Somewhat Sensitive,Medium
43-172-9431,25,Male,Middle,Divorced,High School,Middle,Lameira,Gardening & Outdoors,138.2,8,In-Store,1,2,2.0,High,Not Sensitive,0,6,Low,Desktop,Debit Card,2024-03-02,False,True,Need-based,No Preference,12,138.2,2024-03-02,2024,3,March,Saturday,0,0,Low Value,Not Sensitive,Slow
39-274-2175,48,Polygender,High,Divorced,Master's,High,Hengdian,Health Supplements,79.1,10,In-Store,5,3,1.0,Unknown,Not Sensitive,0,9,Medium,Tablet,Debit Card,2024-05-05,True,False,Need-based,Express,4,79.1,2024-05-05,2024,5,May,Sunday,0,0,Low Value,Not Sensitive,Fast
18-097-5707,34,Male,Middle,Widowed,High School,High,Dhībīn,Sports & Outdoors,291.6,2,In-Store,3,3,2.0,High,Somewhat Sensitive,0,7,Unknown,Desktop,Cash,2024-08-01,False,True,Need-based,Standard,3,291.6,2024-08-01,2024,8,August,Thursday,0,0,Potential Loyalists,Somewhat Sensitive,Fast
65-036-2410,50,Female,Middle,Single,High School,Middle,Paris 09,Health Care,369.73,2,Online,1,2,2.0,Unknown,Not Sensitive,0,3,Unknown,Tablet,Debit Card,2024-02-04,True,True,Wants-based,No Preference,12,369.73,2024-02-04,2024,2,February,Sunday,0,0,At Risk,Not Sensitive,Slow
33-484-6674,47,Male,Middle,Single,Master's,Middle,Porangatu,Packages),280.05,10,In-Store,4,1,2.0,Medium,Very Sensitive,1,2,High,Smartphone,Credit Card,2024-07-06,True,False,Wants-based,No Preference,11,280.05,2024-07-06,2024,7,July,Saturday,0,0,Potential Loyalists,Very Sensitive,Medium
17-328-4678,27,Male,High,Widowed,Bachelor's,Middle,Quimbaya,Packages),119.51,11,Mixed,5,5,2.0,Low,Very Sensitive,2,8,Low,Desktop,PayPal,2024-05-07,False,False,Planned,No Preference,1,119.51,2024-05-07,2024,5,May,Tuesday,0,0,Low Value,Very Sensitive,Fast
00-733-8770,37,Female,High,Single,Master's,High,Narok,Arts & Crafts,57.5,12,Online,5,1,1.0,Unknown,Not Sensitive,0,3,Unknown,Desktop,Cash,2024-12-08,True,True,Impulsive,No Preference,13,57.5,2024-12-08,2024,12,December,Sunday,0,0,Potential Loyalists,Not Sensitive,Slow
63-684-4073,45,Female,High,Divorced,Bachelor's,High,Blokdesa Situgede,Electronics,331.57,11,Mixed,3,1,0.0,Low,Somewhat Sensitive,1,6,Medium,Desktop,Debit Card,2024-05-06,False,False,Impulsive,Express,14,331.57,2024-05-06,2024,5,May,Monday,0,0,At Risk,Somewhat Sensitive,Slow
72-728-4406,50,Female,Middle,Single,Master's,High,Liutan,Packages),143.52,9,In-Store,2,5,1.0,Medium,Somewhat Sensitive,2,3,Unknown,Tablet,Credit Card,2024-04-11,True,False,Impulsive,Express,12,143.52,2024-04-11,2024,4,April,Thursday,0,0,Low Value,Somewhat Sensitive,Slow
13-588-2488,39,Male,Middle,Widowed,Bachelor's,Middle,Huanggang,Sports & Outdoors,276.48,3,Mixed,1,2,1.0,Unknown,Somewhat Sensitive,0,4,Low,Desktop,Cash,2024-05-05,False,False,Need-based,Express,7,276.48,2024-05-05,2024,5,May,Sunday,0,0,Low Value,Somewhat Sensitive,Medium
66-974-6707,48,Male,Middle,Married,Master's,Middle,Mi’ersi,Mobile Accessories,228.68,3,Mixed,2,1,2.0,Low,Very Sensitive,1,4,Unknown,Tablet,Debit Card,2024-10-09,True,False,Planned,Standard,4,228.68,2024-10-09,2024,10,October,Wednesday,0,0,Potential Loyalists,Very Sensitive,Fast
52-908-9971,31,Male,Middle,Widowed,High School,Middle,Gulou,Software & Apps,467.5,6,In-Store,2,1,0.0,Unknown,Somewhat Sensitive,1,1,High,Desktop,PayPal,2024-04-04,False,False,Planned,No Preference,6,467.5,2024-04-04,2024,4,April,Thursday,0,0,Potential Loyalists,Somewhat Sensitive,Medium
71-959-3896,29,Male,High,Married,Bachelor's,High,Cipari,Luxury Goods,98.63,7,Online,4,5,2.0,High,Somewhat Sensitive,1,3,Low,Tablet,Other,2024-01-09,False,True,Planned,Standard,6,98.63,2024-01-09,2024,1,January,Tuesday,0,0,Low Value,Somewhat Sensitive,Medium
29-987-3969,21,Female,Middle,Divorced,Master's,Middle,Orlando,Beauty & Personal Care,193.3,11,Mixed,4,2,2.0,Unknown,Very Sensitive,2,1,Medium,Tablet,Other,2024-06-03,True,True,Planned,No Preference,12,193.3,2024-06-03,2024,6,June,Monday,0,0,Low Value,Very Sensitive,Slow
23-794-8196,36,Genderfluid,High,Married,Master's,Middle,Xinchengzi,Furniture,268.28,9,Mixed,5,2,2.0,High,Very Sensitive,2,2,High,Smartphone,Credit Card,2024-04-09,False,True,Need-based,Standard,8,268.28,2024-04-09,2024,4,April,Tuesday,0,0,Low Value,Very Sensitive,Medium
22-311-5460,44,Male,Middle,Widowed,High School,Middle,Bronnitsy,Arts & Crafts,80.17,10,Online,1,1,1.0,High,Not Sensitive,1,8,Unknown,Tablet,Credit Card,2024-05-10,True,True,Planned,No Preference,6,80.17,2024-05-10,2024,5,May,Friday,0,0,Low Value,Not Sensitive,Medium
29-779-3457,49,Female,Middle,Widowed,Bachelor's,High,Huangni,Office Supplies,323.39,10,In-Store,2,3,2.0,Unknown,Very Sensitive,0,7,High,Tablet,Cash,2024-01-04,True,True,Need-based,No Preference,11,323.39,2024-01-04,2024,1,January,Thursday,0,0,At Risk,Very Sensitive,Medium
